trainer/global_step,_step,_runtime,epoch,val_accuracy,_timestamp,val_loss,val_nll,nll_epoch,loss_epoch,nll_step,loss_step,test_accuracy,test_nll
39,0,7.555210113525391,0,0.5404999852180481,1716307815.757667,5.099785804748535,4.405372142791748,,,,,,
39,1,7.558315992355347,0,,1716307815.760773,,,4.34018611907959,5.048257350921631,,,,
49,2,8.935804843902588,1,,1716307817.1382618,,,,,4.429705619812012,5.147172927856445,,
79,3,12.668153762817383,1,0.534500002861023,1716307820.8706107,4.721779823303223,4.026666641235352,,,,,,
79,4,12.671091794967651,1,,1716307820.8735487,,,4.301658630371094,5.005186557769775,,,,
99,5,15.029888153076172,2,,1716307823.232345,,,,,3.995685577392578,4.701969146728516,,
119,6,17.736570835113525,2,0.5354999899864197,1716307825.9390278,4.828152179718018,4.134939193725586,,,,,,
119,7,17.73940682411194,2,,1716307825.9418638,,,4.116926670074463,4.8187127113342285,,,,
149,8,21.154120922088623,3,,1716307829.3565779,,,,,3.8545937538146973,4.565058708190918,,
159,9,22.84216594696045,3,0.5325000286102295,1716307831.044623,4.584356307983398,3.89467453956604,,,,,,
159,10,22.84512686729431,3,,1716307831.0475838,,,3.995224952697754,4.692559242248535,,,,
199,11,27.22861909866333,4,,1716307835.431076,,,,,4.174624443054199,4.845828056335449,,
199,12,27.901238918304443,4,0.5375000238418579,1716307836.1036959,4.470504283905029,3.779505968093872,,,,,,
199,13,27.904163360595703,4,,1716307836.1066203,,,3.8441390991210938,4.540646553039551,,,,
239,14,33.04708194732666,5,0.5335000157356262,1716307841.249539,4.370006084442139,3.683897018432617,,,,,,
239,15,33.049997329711914,5,,1716307841.2524543,,,3.6867902278900146,4.380415916442871,,,,
249,16,34.44931602478027,6,,1716307842.651773,,,,,3.427013874053955,4.1266632080078125,,
279,17,38.14855480194092,6,0.5370000004768372,1716307846.3510118,4.041306495666504,3.3584024906158447,,,,,,
279,18,38.151451110839844,6,,1716307846.353908,,,3.4683375358581543,4.159385681152344,,,,
299,19,40.60506057739258,7,,1716307848.8075175,,,,,3.2332048416137695,3.9189393520355225,,
319,20,43.3662531375885,7,0.5350000262260437,1716307851.56871,3.9796035289764404,3.2974154949188232,,,,,,
319,21,43.369232177734375,7,,1716307851.5716891,,,3.409228801727295,4.097362995147705,,,,
349,22,46.76161336898804,8,,1716307854.9640703,,,,,3.189208984375,3.8698389530181885,,
359,23,48.49369430541992,8,0.5385000109672546,1716307856.6961513,3.7713253498077393,3.090758800506592,,,,,,
359,24,48.49682974815369,8,,1716307856.6992867,,,3.1976191997528076,3.8834893703460693,,,,
399,25,52.92863464355469,9,,1716307861.1310916,,,,,4.749350547790527,5.4092230796813965,,
399,26,53.682289123535156,9,0.5429999828338623,1716307861.884746,3.6179704666137695,2.9417402744293213,,,,,,
399,27,53.68518114089966,9,,1716307861.887638,,,3.059504270553589,3.741636276245117,,,,
439,28,58.88537526130676,10,0.5625,1716307867.0878322,3.493999719619751,2.821664571762085,,,,,,
439,29,58.88849234580994,10,,1716307867.0909493,,,2.8602781295776367,3.539078950881958,,,,
449,30,60.67048120498657,11,,1716307868.8729382,,,,,2.7331762313842773,3.413027286529541,,
479,31,64.44225668907166,11,0.5914999842643738,1716307872.6447136,3.171320915222168,2.505603313446045,,,,,,
479,32,64.44536352157593,11,,1716307872.6478205,,,2.700099468231201,3.3737266063690186,,,,
499,33,66.8498055934906,12,,1716307875.0522625,,,,,2.4237992763519287,3.095515251159668,,
519,34,69.51438164710999,12,0.609499990940094,1716307877.7168386,3.0075180530548096,2.3461475372314453,,,,,,
519,35,69.51741790771484,12,,1716307877.7198749,,,2.4966893196105957,3.1645054817199707,,,,
549,36,72.88370442390442,13,,1716307881.0861614,,,,,2.1914854049682617,2.8567419052124023,,
559,37,74.65754914283752,13,0.6399999856948853,1716307882.860006,2.8863353729248047,2.2350785732269287,,,,,,
559,38,74.66044592857361,13,,1716307882.8629029,,,2.2988059520721436,2.9595367908477783,,,,
599,39,78.93629837036133,14,,1716307887.1387553,,,,,1.5758426189422607,2.2142481803894043,,
599,40,79.65190434455872,14,0.621999979019165,1716307887.8543613,2.6529741287231445,2.009669780731201,,,,,,
599,41,79.65507912635803,14,,1716307887.857536,,,2.100792407989502,2.75134015083313,,,,
639,42,84.74065852165222,15,0.6380000114440918,1716307892.9431155,2.391777276992798,1.76463782787323,,,,,,
639,43,84.74381160736084,15,,1716307892.9462686,,,1.9018357992172241,2.5403828620910645,,,,
649,44,86.1949725151062,16,,1716307894.3974295,,,,,1.639058232307434,2.2639071941375732,,
679,45,89.93959856033325,16,0.6535000205039978,1716307898.1420555,2.243900775909424,1.6348477602005005,,,,,,
679,46,89.94253444671631,16,,1716307898.1449914,,,1.6911324262619019,2.3166778087615967,,,,
699,47,92.28566884994507,17,,1716307900.4881258,,,,,1.530727505683899,2.143303155899048,,
719,48,94.94599866867065,17,0.6635000109672546,1716307903.1484556,1.9299572706222534,1.337955355644226,,,,,,
719,49,94.94895243644714,17,,1716307903.1514094,,,1.488757848739624,2.0985360145568848,,,,
749,50,98.35510039329529,18,,1716307906.5575573,,,,,1.2149404287338257,1.7725921869277954,,
759,51,100.07777833938599,18,0.6585000157356262,1716307908.2802353,1.8412367105484009,1.2644503116607666,,,,,,
759,52,100.0809645652771,18,,1716307908.2834215,,,1.258392095565796,1.8501707315444946,,,,
799,53,104.4439013004303,19,,1716307912.6463583,,,,,1.0468270778656006,1.6483547687530518,,
799,54,105.18419480323792,19,0.6930000185966492,1716307913.3866518,1.4653948545455933,0.896016538143158,,,,,,
799,55,105.18713092803955,19,,1716307913.3895879,,,0.9984993934631348,1.5807271003723145,,,,
839,56,110.32836985588074,20,0.6875,1716307918.5308268,1.3291993141174316,0.7598097920417786,,,,,,
839,57,110.33137226104736,20,,1716307918.5338292,,,0.7742801904678345,1.343745470046997,,,,
849,58,111.72233390808105,21,,1716307919.9247909,,,,,0.6902738213539124,1.2543363571166992,,
879,59,115.52119302749634,21,0.6980000138282776,1716307923.72365,0.9633904695510864,0.4097737669944763,,,,,,
