trainer/global_step,_step,_runtime,epoch,val_accuracy,_timestamp,val_loss,val_nll,nll_epoch,loss_epoch,nll_step,loss_step,test_accuracy,test_nll
39,0,7.47393012046814,0,0.4620000123977661,1716308181.120367,5.161472797393799,4.426104545593262,,,,,,
39,1,7.477121114730835,0,,1716308181.123558,,,4.5167236328125,5.242234706878662,,,,
49,2,8.929761409759521,1,,1716308182.5761983,,,,,4.057697296142578,4.7707366943359375,,
79,3,12.845773458480835,1,0.4620000123977661,1716308186.4922104,4.947821617126465,4.226548671722412,,,,,,
79,4,12.848802328109741,1,,1716308186.4952393,,,4.4192986488342285,5.137006759643555,,,,
99,5,15.34107780456543,2,,1716308188.9875147,,,,,4.280570983886719,4.990024089813232,,
119,6,18.2691171169281,2,0.4620000123977661,1716308191.915554,4.909811019897461,4.193127632141113,,,,,,
119,7,18.2722806930542,2,,1716308191.9187176,,,4.246218204498291,4.958637237548828,,,,
149,8,21.86078715324402,3,,1716308195.507224,,,,,4.2618088722229,4.9589457511901855,,
159,9,23.65786623954773,3,0.4620000123977661,1716308197.3043032,4.806037902832031,4.095053672790527,,,,,,
159,10,23.66084861755371,3,,1716308197.3072855,,,4.106227397918701,4.812966346740723,,,,
199,11,28.255292892456055,4,,1716308201.9017298,,,,,4.991476058959961,5.7274980545043945,,
199,12,28.958329677581787,4,0.4625000059604645,1716308202.6047666,4.487493515014648,3.7823495864868164,,,,,,
199,13,28.96157479286194,4,,1716308202.6080117,,,3.881662130355835,4.584283828735352,,,,
239,14,34.114853382110596,5,0.4620000123977661,1716308207.7612903,4.41072416305542,3.7106010913848877,,,,,,
239,15,34.117774963378906,5,,1716308207.764212,,,3.7869203090667725,4.484406471252441,,,,
249,16,35.60104703903198,6,,1716308209.247484,,,,,3.656315326690674,4.346713542938232,,
279,17,39.47176671028137,6,0.4645000100135803,1716308213.1182036,4.20736837387085,3.5125668048858643,,,,,,
279,18,39.47494721412659,6,,1716308213.1213841,,,3.5788817405700684,4.273223400115967,,,,
299,19,42.03463888168335,7,,1716308215.6810758,,,,,3.7582929134368896,4.450158596038818,,
319,20,44.9315881729126,7,0.4659999907016754,1716308218.578025,4.059145927429199,3.3667025566101074,,,,,,
319,21,44.93458676338196,7,,1716308218.5810237,,,3.4309144020080566,4.12150764465332,,,,
349,22,48.50461149215698,8,,1716308222.1510484,,,,,3.1386680603027344,3.8234198093414307,,
359,23,50.2935836315155,8,0.47450000047683716,1716308223.9400206,3.891631841659546,3.203587293624878,,,,,,
359,24,50.29673409461975,8,,1716308223.943171,,,3.2913575172424316,3.9792604446411133,,,,
399,25,54.98488640785217,9,,1716308228.6313233,,,,,3.499998092651367,4.190537929534912,,
399,26,55.756999015808105,9,0.5170000195503235,1716308229.403436,3.6863179206848145,3.0037269592285156,,,,,,
399,27,55.76000642776489,9,,1716308229.4064434,,,3.0996415615081787,3.7830286026000977,,,,
439,28,61.077625036239624,10,0.5709999799728394,1716308234.724062,3.638529062271118,2.9591243267059326,,,,,,
439,29,61.080681562423706,10,,1716308234.7271185,,,2.958296775817871,3.637575387954712,,,,
449,30,62.54524874687195,11,,1716308236.1916857,,,,,2.7542552947998047,3.423830509185791,,
479,31,66.3596613407135,11,0.6150000095367432,1716308240.0060983,3.3054285049438477,2.6326406002044678,,,,,,
479,32,66.36261320114136,11,,1716308240.0090501,,,2.747969627380371,3.4225316047668457,,,,
499,33,68.83658766746521,12,,1716308242.4830246,,,,,2.6497762203216553,3.3226590156555176,,
519,34,71.70641708374023,12,0.6679999828338623,1716308245.352854,3.210531234741211,2.547602891921997,,,,,,
519,35,71.70942091941833,12,,1716308245.3558578,,,2.604792833328247,3.272963523864746,,,,
549,36,75.23284912109375,13,,1716308248.879286,,,,,2.2395739555358887,2.886854887008667,,
559,37,76.99877977371216,13,0.6694999933242798,1716308250.6452167,2.965240716934204,2.3096415996551514,,,,,,
559,38,77.0017318725586,13,,1716308250.6481688,,,2.406769037246704,3.0657382011413574,,,,
599,39,81.5957887172699,14,,1716308255.2422256,,,,,1.5817161798477173,2.2172977924346924,,
599,40,82.34877896308899,14,0.6784999966621399,1716308255.995216,2.757636308670044,2.117264986038208,,,,,,
599,41,82.35178923606873,14,,1716308255.9982262,,,2.258469820022583,2.907031536102295,,,,
639,42,87.71345591545105,15,0.6945000290870667,1716308261.3598928,2.60270619392395,1.977492094039917,,,,,,
639,43,87.71638894081116,15,,1716308261.3628259,,,2.078434467315674,2.711209297180176,,,,
649,44,89.19530916213989,16,,1716308262.841746,,,,,1.8768653869628906,2.486517906188965,,
679,45,93.00643038749695,16,0.7135000228881836,1716308266.6528673,2.3518874645233154,1.7491339445114136,,,,,,
679,46,93.00946402549744,16,,1716308266.655901,,,1.8594979047775269,2.4748048782348633,,,,
699,47,95.54022240638733,17,,1716308269.1866593,,,,,1.7124626636505127,2.318605899810791,,
719,48,98.37379789352417,17,0.7289999723434448,1716308272.0202348,2.2324583530426025,1.647051215171814,,,,,,
719,49,98.37684464454651,17,,1716308272.0232816,,,1.7148033380508423,2.3137741088867188,,,,
749,50,101.95326638221741,18,,1716308275.5997033,,,,,1.6906752586364746,2.2787013053894043,,
759,51,103.76119685173035,18,0.7120000123977661,1716308277.4076338,2.07234787940979,1.4910248517990112,,,,,,
759,52,103.76424646377563,18,,1716308277.4106834,,,1.5005426406860352,2.087286949157715,,,,
799,53,108.14519715309143,19,,1716308281.791634,,,,,0.7904897332191467,1.352707862854004,,
